Author,Comment,Photo,Channel_ID,Timestamp
SharkBearAgator Phipps,that's a pretty sick burn,https://yt3.ggpht.com/-ECXfXLmqDiM/AAAAAAAAAAI/AAAAAAAAAAA/rotAmZdiGDU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCjO72RZHKCUhy1LhBQu405g,1592801385838121
One Sight,"Can't you see, I identify as a single letter in the alphabet",https://yt3.ggpht.com/-lPmIUNEMLWE/AAAAAAAAAAI/AAAAAAAAAAA/ZkW-I3GD9Pc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCN0TbGs9tltzhpAUcWvkAEA,1592801388755779
Prophet,Madeinheaven Avery,https://yt3.ggpht.com/-oF8sV5FMsXU/AAAAAAAAAAI/AAAAAAAAAAA/KzD2EBe_AC8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCgfAOURn6CQR50KR0-vU60w,1592801389435035
Sampada,@TAEHUNGS WIFE LMFAO 🤣🤣🤣🤣🤣🤣🤣🤣🤣,https://yt3.ggpht.com/-blrU8-1Dlmk/AAAAAAAAAAI/AAAAAAAAAAA/eXQ7JqnM0q4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMGOiIWzVcFopEWhQuPEY3g,1592801390555763
Idiot Dumb,my real pic looks like a the Buttface people from South Park,https://yt3.ggpht.com/-IHKSWBWsrBQ/AAAAAAAAAAI/AAAAAAAAAAA/5p1VoSFATWs/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCdCBsWItoD7Ypd8PN3qMIKw,1592801392849524
Big Ed,Yummy Mummies is by far the most entertaining show Netflix has to offer,https://yt3.ggpht.com/-q5RqaLJaAvw/AAAAAAAAAAI/AAAAAAAAAAA/rDylfppbePk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCWXI7fN6G-ohL_GJR1Umv6w,1592801394912721
b l u e d r e a m,its so good,https://yt3.ggpht.com/-PXVFfzEF2eY/AAAAAAAAAAI/AAAAAAAAAAA/Hr-comZMDM8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Ptrz5gNx8xFcX0Q4UmvOw,1592801397336070
David Salman,We got 2 Avery's ,https://yt3.ggpht.com/--EOCW8phqFg/AAAAAAAAAAI/AAAAAAAAAAA/K5DqSvcr1VA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCo4h5yQBv85cAGGqm6gc3bA,1592801398679267
Blake Williams,"@V Marie what are you, a motivational speaker",https://yt3.ggpht.com/-FMOgzqMCMN0/AAAAAAAAAAI/AAAAAAAAAAA/R2dCM1FZm9s/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8_Apw5PUaLxg3QEcDYA5hA,1592801402727742
Sampada,adamisà,https://yt3.ggpht.com/-blrU8-1Dlmk/AAAAAAAAAAI/AAAAAAAAAAA/eXQ7JqnM0q4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMGOiIWzVcFopEWhQuPEY3g,1592801407214738
