Author,Comment,Photo,Channel_ID,Timestamp
KK,He's name is Dalton.,https://yt3.ggpht.com/-9waKlKLX4tE/AAAAAAAAAAI/AAAAAAAAAAA/B43TlQecCnk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCm8o4XZCzfO0jHSLqRjfsuA,1592920000000000.0
Ozzie,✨ power to the people! ✨,https://yt3.ggpht.com/-oVMTBPfEmow/AAAAAAAAAAI/AAAAAAAAAAA/s2RJxzAW6Pk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCnc1eiheCSM_leJ80blhFMA,1592920000000000.0
johnnyboy,ORANGE MAN GOOD,https://yt3.ggpht.com/-JEBf8ilKy9s/AAAAAAAAAAI/AAAAAAAAAAA/pTcb92qpkVI/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCjhPJmmaOqfZ-ymJybO4dFA,1592920000000000.0
Pat Riley,This guy on megaphone is elected to nothing. Zero followers.,https://yt3.ggpht.com/-gssLWFEh108/AAAAAAAAAAI/AAAAAAAAAAA/ig97wNCpo0Y/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCp1uKBp3FKhPwsK3nPvKRnQ,1592920000000000.0
Frank Swartswelder,move these a holes out,https://yt3.ggpht.com/-TUJgzSivZv0/AAAAAAAAAAI/AAAAAAAAAAA/G7q1LEzC2jg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCz4KMMTvVK3pNi99DKLOaRQ,1592920000000000.0
DNA Electronics,trumps rally in Tulsa was a GREAT success ! lawl,https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
menace2society2,make america great again(1865),https://yt3.ggpht.com/-kGQIh2WcshE/AAAAAAAAAAI/AAAAAAAAAAA/9iHAKxDF2VQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCH9xX5cINDLbkFYRIleKK3A,1592920000000000.0
the Empress,GO HOME,https://yt3.ggpht.com/-c8iVeGxJ094/AAAAAAAAAAI/AAAAAAAAAAA/zaMBrt71ffI/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCWpmxlBuBD3lz1lJxf1Ld6g,1592920000000000.0
Supersquid 1776,The vast majority of Americans are getting tired of this BS!!!,https://yt3.ggpht.com/-a80Ixz5bkaA/AAAAAAAAAAI/AAAAAAAAAAA/G7lJ8YXjN4g/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC_vfyv_NT39NuB_5l2gxBKQ,1592920000000000.0
Tim Graham,never saw so many totally punchable faces in one place before,https://yt3.ggpht.com/-Tp6b7sNtLYc/AAAAAAAAAAI/AAAAAAAAAAA/tWpC4MLGShs/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCoqZXzNGGHr77vGD8BzWDdg,1592920000000000.0
Malice min,"@Jasminka Karamustafic yes let us rewrite history too. slavery never happened, and the civil war was waged into 2102",https://yt3.ggpht.com/-r2dhFGoXK-M/AAAAAAAAAAI/AAAAAAAAAAA/tEqNRArC8uE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC0uPhOs4LQ3jtXE4S4O2a3w,1592920000000000.0
jean pierre Roy,blm fund by china,https://yt3.ggpht.com/-20vx5UWo7p0/AAAAAAAAAAI/AAAAAAAAAAA/9v5Uqp1Wr_4/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCSvW-1rUsW2AttFQwrpbsog,1592920000000000.0
NEW iis 2C,'Blue Lives Matter' | Hundreds rally in support of police in NY,https://yt3.ggpht.com/-QjkxBZxdJoc/AAAAAAAAAAI/AAAAAAAAAAA/WocoklFh5Qc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCGklGm2SwBbcMQYAWOzr4yw,1592920000000000.0
Zsavage1,racist president.. what a crock.. just before the virus .. unemployment was as it's lowest in HISTORY across all races!!!,https://yt3.ggpht.com/-wg4qR6B5YxI/AAAAAAAAAAI/AAAAAAAAAAA/SzQHLWXVJlw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCILvFy72agtBgU8F59gqvdQ,1592920000000000.0
wim van dam,they all think they say something new,https://yt3.ggpht.com/-Dshti5qeOXw/AAAAAAAAAAI/AAAAAAAAAAA/eynEsoyMPzE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCMFRwSYJinbV8o91RNxBZRA,1592920000000000.0
- 13.UpNext -,I’m a follower,https://yt3.ggpht.com/-3g9s7zraGPE/AAAAAAAAAAI/AAAAAAAAAAA/E2UAAXmGNfo/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCwqR9I3f_dMErxr5sQDwdww,1592920000000000.0
Brandon Max,BLM+ANTIFA=DEMOCRATS,https://yt3.ggpht.com/-o6VneShiHbU/AAAAAAAAAAI/AAAAAAAAAAA/_QiGFuEL9PQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCJyxu3-WNz2WzljCT2XzZnQ,1592920000000000.0
philonetic,Our Police are doing the right thing protecting the statues,https://yt3.ggpht.com/-W45EIo8lxU8/AAAAAAAAAAI/AAAAAAAAAAA/g5xce6ikdpU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC-ZIQ6UinBTocxQXlwnw8FA,1592920000000000.0
DNA Electronics,"Nope SUpre, BLM movement has never seen such high support in the US",https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
Pat Riley,This dude is running for office??,https://yt3.ggpht.com/-gssLWFEh108/AAAAAAAAAAI/AAAAAAAAAAA/ig97wNCpo0Y/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCp1uKBp3FKhPwsK3nPvKRnQ,1592920000000000.0
